frame_id,location_id,variant,video_path,frame_index,timestamp_seconds,frame_source,selection_role,target_fraction,selection_method,review_image
fci_day_0,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,0,0.000,original_source_video,regular,0.00,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_0_debug.jpg
fci_day_1799,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,1799,60.020,original_source_video,regular,0.10,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_1799_debug.jpg
fci_day_3599,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,3599,120.073,original_source_video,regular,0.20,reviewed_frame_near_even_target,colab\outputs\validation\review_images\fci_day_3599_debug.jpg
fci_day_5398,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,5398,180.092,original_source_video,regular,0.30,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_5398_debug.jpg
fci_day_7198,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,7198,240.145,original_source_video,regular,0.40,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_7198_debug.jpg
fci_day_8998,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,8998,300.198,original_source_video,regular,0.50,reviewed_frame_near_even_target,colab\outputs\validation\review_images\fci_day_8998_debug.jpg
fci_day_10797,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,10797,360.218,original_source_video,regular,0.60,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_10797_debug.jpg
fci_day_12597,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,12597,420.271,original_source_video,regular,0.70,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_12597_debug.jpg
fci_day_14397,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,14397,480.324,original_source_video,regular,0.80,reviewed_frame_near_even_target,colab\outputs\validation\review_images\fci_day_14397_debug.jpg
fci_day_16196,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,16196,540.344,original_source_video,regular,0.90,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_16196_debug.jpg
fci_day_17996,fci,day,backend\app\data\videos\fci\day\fci_video.MOV,17996,600.397,original_source_video,regular,1.00,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_day_17996_debug.jpg
fci_night_0,fci,night,backend\app\data\videos\fci\night\fci_video.mov,0,0.000,original_source_video,regular,0.00,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_0_debug.jpg
fci_night_1620,fci,night,backend\app\data\videos\fci\night\fci_video.mov,1620,54.048,original_source_video,regular,0.10,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_1620_debug.jpg
fci_night_3240,fci,night,backend\app\data\videos\fci\night\fci_video.mov,3240,108.096,original_source_video,regular,0.20,reviewed_frame_near_even_target,colab\outputs\validation\review_images\fci_night_3240_debug.jpg
